"Species","Scenario","Subpopulation #","Subpopulation","Correct Productivity Weighting?","Productivity Weighting","Correct Capacity Weighting?","Capacity Weighting","Diversity","Survival","Eggs per Spawner","Productivity","Capacity","Equilibrium Abundance","Juvenile-to-Adult Survival","Juvenile-to-Spawner Survival","Juvenile Productivity","Juvenile Capacity","Juvenile Abundance","Juvenile-to-Adult Productivity","Juvenile-to-Adult Capacity","Juvenile-to-Adult Abundance","...3"
"Coho","Baseline",1880,"Rock(UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.212962962962963,0.00216107033415944,1500,3.24160550123916,194.719595369383,134.650720456952,0.130510146673198,0.116410215854796,27.3780140878596,1685.56633907393,1156.69161394657,3.57231728159243,220.005793946114,150.959992191824,NA
"Coho","Baseline",1885,"Above Crim SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.12407211028632,0.00177388514443391,1500,2.66082771665087,761.917739706247,475.571602021971,0.129214035552485,0.119297029857668,22.1951157367722,6405.6886884775,3986.44964245438,2.81645036468192,836.98737391027,515.105245828291,NA
"Coho","Baseline",1890,"Crim Creek (UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.10062893081761,0.00197960599407676,1500,2.96940899111514,80.8772003024421,53.6403997995685,0.126088138750265,0.117668368604846,25.5055774418042,683.654599472665,455.860826792829,3.18095933032735,86.6771870503139,57.4786431794647,NA
"Coho","Baseline",1900,"Big Creek (UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0188679245283019,0.000949429511441979,1500,1.42414426716297,16.2579603855218,4.84200993696983,0.143515236440986,0.135532789037498,10.1080616241612,132.288656618172,35.7257455657479,1.48495811237078,17.8698708185843,5.12718882189883,NA
"Coho","Baseline",1910,"Roger Creek (UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0,0,1500,0,10.6175079080979,0,0,0,0,258.031573811916,0,0,30.8399970299962,0,NA
"Coho","Baseline",1920,"Alder Creek (UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0588235294117647,0.000780637228865333,1500,1.170955843298,17.598618546046,2.56934255176132,0.133385439345084,0.123888291153027,9.45397612602589,141.853166562952,20.7391879236406,1.25445327242535,19.5180671518996,2.76630569285505,NA
"Coho","Baseline",1930,"Thrash Creek (UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0804597701149425,0.0016168082901046,1500,2.4252124351569,54.6303939256972,32.1043697581842,0.131697668366165,0.124245402716421,19.4626477146562,440.601107488783,258.39483036213,2.56105886017745,58.0601320468725,34.0299966765633,NA
"Coho","Baseline",1940,"Mack Creek (UC) SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.208333333333333,0.000935914156242813,1500,1.40387123436422,7.69443839987918,2.21356649971249,0.133920482716885,0.12743479857466,10.964028642693,61.1019157829079,17.3701887119603,1.47045895536205,8.15277366034896,2.32622405718911,NA
"Coho","Baseline",1950,"WF Chehalis River SB",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.193333333333333,0.00199585007926872,1500,2.99377511890309,167.642375701479,111.645392279791,0.130110662413161,0.123161406052335,24.8364648046607,1346.77985105752,906.496571112128,3.14175483335433,177.695478021682,117.944869342658,NA
"Coho","with Project 10",0,"ALL SUBPOPULATIONS",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.63515,0.00331010671011069,1500.00000000001,4.96516006516606,96562.2652854052,77114.2990530868,0.127437458739338,0.108710204343782,42.9586731877617,902639.325020025,709356.582655503,5.45618821167561,115135.603702966,90398.6002336382,NA
